α	Pr	α
γνώμας	n-s---fg-	γνώμη
γνωρίμως	Df	γνωρίμως
γνωτὰ	a-p---na-	γνωτός
γοεδνά	a-p---na-	γοεδνός
γοερὰ	a-p---na-	γοερός
γοερὰ	n-p---na-	γοερός
γόνατ	Nb	γόνατ
γονὰς	Nb	γονή
γονὰς	n-p---fa-	γονή
Γοργόνας	n-p---fa-	Γοργόνες
γράφου	V-	γράφου
γύας	Nb	γύης
γυμνὸν	A-	γυμνός
γυναῖκα	Nb	γυνή
γυναῖκας	Nb	γυνή
γυναῖκες	Nb	γυνή
γυναικὶ	Nb	γυνή
γυναιξὶ	Nb	γυνή
γυνή	Nb	γυνή
γυψὶ	Nb	γυψὶ
δαΐωι	F-	δαίω
δάκνει	V-	δάκνω
δάκρυ	Nb	δάκρυον
δάμαρτα	Nb	δάμαρ
Δαρείου	Ne	δαρεῖος
δέδια	v1sria---	δέδω
δειλαία	A-	δείλαιος
δεκάτωι	Mo	δεκάτωι
Δελφὶς	Ne	δελφίς
δέμας	Nb	δέμας
δέραν	Nb	δέρα
δέραν	v-sapamn-	δέρη
δέραν	n-s---fa-	δέρη
δέρας	n-p---fa-	δέρη
δέραν	n-s---ma-	δέρης
δέραν	n-s---fa-	δέρης
δεδορκότα	V-	δέρκομαι
δέσμιοι	A-	δέσμιος
δεσμίους	Nb	δέσμιος
δεσμά	n-p---na-	δεσμον
δεσμά	n-p---na-	δεσμός
δεσμὰ	n-p---na-	δεσμός
δεσμὰ	n-p---nn-	δεσμός
δεσποσίῳ	a-s---nd-	δεσποσῖος
δεσποσύνων	Nb	δεσποσύνες
δεσπόταν	n-s---ma-	δεσπότης
δεσπότας	n-p---ma-	δεσπότης
δευτέρα	Mo	δεύτερος
δήσας	v-sapamn-	δέω
δας	n-p---fa-	δη
δέρας	n-p---fa-	δήρ
δαρὸν	n-s---ma-	δηρός
δαρὸν	a-s---nn-	δηρός
δαρὸν	a-s---na-	δηρός
δαρὸν	a-s---ma-	δηρός
δι’	R-	διά
διὰ	R-	διά
διαγελᾶις	V-	διαγελᾶις
διάδοχά	Nb	διάδοχά
διαιρετὸν	A-	διαιρετὸς
διαπρεπεῖς	A-	διαπρεπής
διαπρέπεις	A-	διαπρέπης
διαρμόσας	V-	διαρμόζω
διαφέρων	V-	διαφέρω
διαφόρους	A-	διάφορος
διδασκάλου	Nb	διδασκάλου
δίδασκέ	V-	διδάσκω
διδάσκετε	V-	διδάσκω
διδάσκω	V-	διδάσκω
διδόντ	V-	διδόντ
διδόντες	V-	διδόντες
δίδου	V-	δίδουμι
δίδυμ	V-	δίδυμμι
διδοὺς	V-	δίδωμι
Διδοὺς	V-	δίδωμι
δίκαιαγάρ	x--------	δίκαιαγάρ
δίκαια	A-	δίκαιος
δικαίοις	A-	δίκαιος
δικαίους	A-	δίκαιος
δικαίων	A-	δίκαιος
δίκαις	Nb	δίκαις
δικαστῶν	A-	δικαστής
δίκαν	Nb	δίκη
δίκας	Nb	δίκη
διώλεσεν	V-	διόλλυμι
Διονύσωι	Ne	Διονύσω
διοπετὲς	A-	διοπετής
δίας	n-s---fg-	δῖος
δίας	a-s---fg-	δῖος
δίων	a-p---mg-	δῖος
Δίου	Ne	Δῖος
Δίου	a-s---mg-	Δῖος
Δίου	n-s---mg-	Δῖος
Διοσκόρω	Ne	Διοσκόρω
δὶς	Df	δίς
δισκηθήσεται	V-	δισκέω
δισσῶν	A-	δισσός
δίχηλον	A-	δίχηλος
διωγμοῖς	Nb	διωγμοῖς
δίωκε	V-	διώκω
δμωσὶν	n-p---md-	δμώς
δνοφερὰ	a-s---fn-	δνοφερός
δνοφεράν	a-s---fa-	δνοφερός
δοκήσας	v-sapamn-	δοκέω
δόξαντα	v-papana-	δοκέω
δόξας	v-sapamn-	δοκέω
κἀδόκουν	v1siia---	δοκέω
δολία	A-	δολίος
δολίας	a-s---fg-	δολῖος
δολίοις	a-p---md-	δολῖος
δολίῳ	a-s---md-	δολῖος
δολώσαντες	v-papamn-	δολόω
δολώσαντος	v-sapamg-	δολόω
δολώσας	v-sapamn-	δολόω
δόξαν	Nb	δόξα
δόρκα	n-s---fa-	δόρξ
δούλα	A-	δούλος
δοχμίαν	a-s---fa-	δοχμῖος
δράσεις	V-	δράω
δρέψασθαι	v--anm---	δρέπτω
δρομὰς	n-p---fa-	δρομή
δροσερὰς	a-p---fa-	δροσερός
δρυός	n-s---fg-	δρῦς
δύναι	V-	δύναι
δυναίμεθ	V-	δυναίμεθ
δυσάρεστος	A-	δυσάρεστος
δυσγένει	A-	δυσγένει
δυσλύτους	A-	δυσλύτους
δυσμενεῖς	A-	δυσμενής
δύσνουν	V-	δύσνους
δυσσεβεστέροις	A-	δυσσεβεστέροις
δυσσεβεῖς	A-	δυσσεβής
δυσσεβῆ	A-	δυσσεβής
δύστηνον	Mo	δύστηνος
δυστυχεῖς	V-	δυστυχεῖς
δυστυχεστάτας	A-	δυστυχεστάτας
δυστυχεστάτωιπροσέπεσον	A-	δυστυχεστάτωιπροσέπεσον
δυστυχοῦντας	V-	δυστυχέω
δυστυχούντων	V-	δυστυχέω
δυστυχῶν	A-	δυστυχέω
δυστυχεῖς	A-	δυστυχής
δώματ	Nb	δώματ
ἐβάστασε	V-	ἐβάστασε
ἑβδόμας	a-p---fa-	ἕβδομος
τἀγγενῆ	a-p---na-	ἐγγενής
ἔγγραψον	V-	ἔγγραπτω
ἐγγράφου	V-	ἐγγράφω
ἐγγὺς	Df	ἐγγύς
ἐγχέας	Nb	ἐγχέω
ἐγχωρίους	A-	ἐγχώριος
ἐγχωρίους	A-	ἐγχωρίους
Ἁγὼ	p-s---mn-	ἐγώ
Ἁγὼ	v1spia---	ἐγώ
ἁμὲ	d--------	ἐγώ
ἁμὲ	p-p---ma-	ἐγώ
ἄμμι	p-p---md-	ἐγώ
ἁμοὶ	p-s---fd-	ἐγώ
ἡμίν	p-p---fd-	ἐγώ
ἡμίν	p-p---md-	ἐγώ
ἡμὶν	p-p---fd-	ἐγώ
ἡμὶν	p-p---md-	ἐγώ
ἡμὶν	Pp	ἐγώ
ἡμὶν	p1p---md-	ἐγώ
Κἀγώ	p-s---fn-	ἐγώ
Κἀγὼ	p-s---fn-	ἐγώ
Κἀγὼ	p-s---mn-	ἐγώ
κἀμὲ	p-p---fa-	ἐγώ
κἀμὲ	p-s---ma-	ἐγώ
κἀμὲ	p-s---fa-	ἐγώ
κἀμοὶ	p-s---fd-	ἐγώ
κἀμοὶ	p-s---md-	ἐγώ
κἀμοὶ	p1s---md-	ἐγώ
Κἀμοὶ	p-s---md-	ἐγώ
κἀμοῦ	p-s---fg-	ἐγώ
κἀμοῦ	p-s---mg-	ἐγώ
ἕδρας	Nb	ἕδρα
σαν	v3paia---	εδω
ἠθελησάτην	v3daia---	ἐθέλω
ἐθρέψατο	v3saim---	ἐθρέβω
εἰώθαμεν	v1pria---	ἔθω
εἰωθόσιν	v-prpamd-	ἔθω
ἴδ	v2sama---	εἶδ
ἴδηι	v3sasa---	εἶδην
ἴδηι	v3saoa---	εἶδην
ἴδηις	v2saoa---	εἶδην
εἰδόμαν	v1siie---	εἶδον
εἰσιδών	v-sapamn-	εἶδον
ἴδε	v2sama---	εἶδον
ἴδε	v3saia---	εἶδον
ἰδεῖν	v--ana---	εἶδον
ἰδέσθαι	v--anm---	εἶδον
ἴδεσθε	v2pamm---	εἶδον
Ἴδεσθε	v2pamm---	εἶδον
ἴδετε	v2pama---	εἶδον
ἴδῃ	v3sasa---	εἶδον
ἴδῃς	v2sasa---	εἶδον
ἴδοι	v3saoa---	εἶδον
ἰδοίμην	v1saom---	εἶδον
ἴδοιμι	v1saoa---	εἶδον
Ἴδοιμι	v1saoa---	εἶδον
ἴδοις	v2saoa---	εἶδον
ἴδοιτο	v3sao----	εἶδον
ἴδον	v1saia---	εἶδον
ἰδόντα	v-sapama-	εἶδον
ἰδόντες	v-papamn-	εἶδον
ἰδοῦσα	v-sapafn-	εἶδον
ἰδοῦσιν	v-papamd-	εἶδον
ἴδω	v1sasa---	εἶδον
ἰδών	v-sapamn-	εἶδον
ἰδὼν	v-sapamn-	εἶδον
Ἰδὼν	v-sapamn-	εἶδον
ἴδωσι	v3pasa---	εἶδον
ἴθ	v2spma---	εἶμ
ἴθ	v2ppma---	εἶμ
ἐστι	V-	εἰμί
ἐστὶ	V-	εἰμί
ἔστι	V-	εἰμί
ἐστιν	V-	εἰμί
ἐστὶν	V-	εἰμί
ἔστιν	V-	εἰμί
Ἔστιν	V-	εἰμί
ὄντα	V-	εἰμί
ὠσὶν	V-	εἰμί
Εἰπὲ	v2sama---	εἶπον
Εἰπεῖν	v--ana---	εἶπον
Εἴποις	v2saoa---	εἶπον
Εἴπω	v1sasa---	εἶπον
Εἰπὼν	v-sapamn-	εἶπον
ἕνα	n-s---ma-	εἷς
ἑνὶ	r--------	εἷς
ἑνὶ	Ma	εἷς
ἑνὶ	n-s---md-	εἷς
μιᾷ	a-s---fd-	εἷς
