token	tag	lemma	macron	source
Ἀγλαύρου	n-s---mg-	Ἀγλαύρος		
ἀγλαῶπι	a-p---na-	ἀγλαῶπι	^7	breve_ultima
ἄγλωσσος	a-s---fn-	ἄγλωσσος		
ἄγ’	v2spma---	ἄγμι	^1	wiktionary
ἀγμός	n-s---mn-	ἀγμός		
ἀγμῶν	n-p---mg-	ἀγμός		
ἁγνᾷ	a-s---fn-	ἁγνᾷ	_4	ifthimos
ἄγναμπτον	a-s---ma-	ἄγναμπτος		
ἁγνείαν	n-s---fa-	ἁγνεία	_6	wiktionary
ἅγνευμ’	n-s---na-	ἅγνευμ		
ἅγνευμα	n-s---na-	ἅγνευμα	^7	breve_ultima
ἁγνεύει	v3spia---	ἁγνεύω		
ἁγνεύειν	v--pna---	ἁγνεύω		
ἁγνεύοι	v3spoa---	ἁγνεύω		
ἁγνίσαι	v--ana---	ἁγνίζω	^1^4	wiktionary
ἁγνίσας	v-sapamn-	ἁγνίζω	^1^4_6	wiktionary
ἁγνισθείς	v-sappmn-	ἁγνίζω	^1^4	wiktionary
ἁγνισθεὶς	v-sappmn-	ἁγνίζω	^1^4	barytone
ἁγνίσηι	v3sasa---	ἁγνίσηι		
ἅγνισον	v2sama---	ἅγνισον	^1^4	wiktionary
ἁγνιστέον	v2spma---	ἁγνιστέον		
ἀγνόει	v3spia---	ἀγνόει		
ἀγνοεῖς	v2spia---	ἀγνοεῖς		
ἀγνοεῖν	v--pna---	ἀγνοέω		
ἀγνοήσῃς	v2sasa---	ἀγνοέω		
ἀγνοῶ	v1spia---	ἀγνοέω		
ἀγνοία	n-s---fn-	ἄγνοια	^1_6	wiktionary
ἀγνοία	n-s---fd-	ἄγνοια	^1_6	wiktionary
ἀγνοίᾳ	n-s---fd-	ἄγνοια	^1_6	ifthimos
ἀγνοίας	n-s---fg-	ἄγνοια	^1_6	wiktionary
ἁγνορύτων	a-p---mg-	ἁγνορύτων		
ἀγνά	a-p---nn-	ἀγνός		
ἀγνὰ	a-p---nn-	ἀγνός		barytone
ἁγνά	a-p---na-	ἁγνός	^4	wiktionary
ἁγνὰ	a-p---na-	ἁγνός	^4	hypotactic,barytone
ἁγναί	a-p---fn-	ἁγνός		
ἁγναί	a-p---fv-	ἁγνός		
ἁγναὶ	a-p---fn-	ἁγνός		barytone
ἁγναὶ	a-p---fv-	ἁγνός		barytone
ἁγναῖς	a-p---fd-	ἁγνός		
ἁγνάν	a-s---fa-	ἁγνός		
ἁγνὰν	a-s---fa-	ἁγνός		barytone
ἁγνάς	a-p---fa-	ἁγνός	_4	wiktionary
ἁγνὰς	a-p---fa-	ἁγνός	_4	ifthimos,barytone
ἁγνᾶς	a-s---fg-	ἁγνός	_4	ifthimos
ἁγνή	a-s---fn-	ἁγνός		
ἁγνὴ	a-s---fn-	ἁγνός		barytone
ἁγνῆς	a-s---fg-	ἁγνός		
ἁγνοί	a-p---mn-	ἁγνός		
ἁγνοὶ	a-p---mn-	ἁγνός		barytone
ἁγνοῖς	a-p---nd-	ἁγνός		
ἁγνοῖς	a-p---md-	ἁγνός		
ἁγνόν	a-s---nv-	ἁγνός		
ἁγνόν	a-s---nn-	ἁγνός		
ἁγνόν	a-s---na-	ἁγνός		
